"","site","quadrat_id","quadrat_shoot_density","quadrat_macroalgae_g","quadrat_lai","quadrat_biomass_g","quadrat_microepiphyte_mg","year","quadrat_detritus_g","quadrat_microepiphyte_g"
"1","choked_sandspit",1,10,2.17,13.23008,13.82,182,"2015",NA,NA
"2","choked_sandspit",2,4,2.15,6.2976,7.1,66,"2015",NA,NA
"3","choked_sandspit",3,7,3.71,11.1174336,9.42,183.4,"2015",NA,NA
"4","choked_sandspit",4,4,0.9,4.217088,4.78,63.2,"2015",NA,NA
"5","choked_sandspit",5,6,3.2,18.27504,6.97,124.2,"2015",NA,NA
"6","choked_sandspit",6,4,2.47,7.8496,5.29,55.2,"2015",NA,NA
"7","choked_inner",2,9,21.35,11.6424,16.51,120.6,"2015",NA,NA
"8","choked_inner",1,5,7.41,8.7552,12.38,92.5,"2015",NA,NA
"9","choked_inner",3,4,3.67,4.99968,5.72,109.6,"2015",NA,NA
"10","choked_inner",4,7,14.75,9.688,16.94,140.7,"2015",NA,NA
"11","choked_inner",5,5,5.23,3.97664,NA,61,"2015",NA,NA
"12","choked_inner",6,6,10.54,6.310656,NA,58.8,"2015",NA,NA
"13","mcmullins_south",1,12,13.05,4.39488,17.32,432,"2015",NA,NA
"14","mcmullins_south",2,6,10.41,4.3363584,11.85,102.6,"2015",NA,NA
"15","mcmullins_south",3,10,8.23,22.4352,15.29,447,"2015",NA,NA
"16","mcmullins_south",4,8,11.27,4.32128,11.32,283.2,"2015",NA,NA
"17","mcmullins_south",5,12,14.11,6.500928,17.84,445.08,"2015",NA,NA
"18","mcmullins_south",6,14,1.07,25.14848,12.03,499.8,"2015",NA,NA
"19","mcmullins_north",1,15,15.04,10.1376,14.43,619.5,"2015",NA,NA
"20","mcmullins_north",2,10,11.46,5.599776,10.56,436,"2015",NA,NA
"21","mcmullins_north",3,9,0.133,2.8237248,12.86,356.4,"2015",NA,NA
"22","mcmullins_north",4,9,0.28,3.5424,8.44,319.5,"2015",NA,NA
"23","mcmullins_north",5,10,0.09,8.75136,NA,527,"2015",NA,NA
"24","mcmullins_north",6,12,0,9.096192,8.7,523.2,"2015",NA,NA
"25","goose_north",1,5,20.84,NA,6.53,NA,"2015",NA,NA
"26","goose_north",2,3,3.61,NA,6.64,NA,"2015",NA,NA
"27","goose_north",3,7,16.433,NA,4.86,NA,"2015",NA,NA
"28","goose_north",4,4,14.42,NA,6.59,NA,"2015",NA,NA
"29","goose_north",5,6,10.37,NA,8.03,NA,"2015",NA,NA
"30","goose_north",6,7,31.43,NA,15.86,NA,"2015",NA,NA
"31","pruth_bay",1,11,1.331,NA,1.89,NA,"2015",NA,NA
"32","pruth_bay",2,18,4.83,NA,3.7,NA,"2015",NA,NA
"33","pruth_bay",3,11,0,NA,1.3,NA,"2015",NA,NA
"34","pruth_bay",4,17,0,NA,2.84,NA,"2015",NA,NA
"35","pruth_bay",5,15,0,NA,0,NA,"2015",NA,NA
"36","pruth_bay",6,7,0,NA,1.65,NA,"2015",NA,NA
"37","pruth_pocket",1,6,3.05,NA,1.84,NA,"2015",NA,NA
"38","pruth_pocket",2,11,6.15,NA,6.39,NA,"2015",NA,NA
"39","pruth_pocket",3,11,1.33,NA,7.63,NA,"2015",NA,NA
"40","pruth_pocket",4,16,0.46,NA,4.23,NA,"2015",NA,NA
"41","pruth_pocket",5,9,6.05,NA,3.36,NA,"2015",NA,NA
"42","pruth_pocket",6,11,5.86,NA,4.44,NA,"2015",NA,NA
"43","triquet_south",1,7,1.98,7.924,8.65,203,"2015",NA,NA
"44","triquet_south",2,4,4.56,2.171328,3.28,118.4,"2015",NA,NA
"45","triquet_south",3,6,1.54,4.600512,8.12,177.6,"2015",NA,NA
"46","triquet_south",4,7,2.4,5.47344,9.65,195.3,"2015",NA,NA
"47","triquet_south",5,6,1.39,6.40464,3.73,104.4,"2015",NA,NA
"48","triquet_south",6,8,3.73,12.04992,10.72,169.6,"2015",NA,NA
"49","goose_south_west",1,24,0.16,18.144,21.22,732,"2015",NA,NA
"50","goose_south_west",2,26,0.35,31.193344,4.39,748.8,"2015",NA,NA
"51","goose_south_west",3,19,0.71,12.484368,7.88,324.9,"2015",NA,NA
"52","goose_south_west",4,21,0,13.138272,21.02,449.4,"2015",NA,NA
"53","goose_south_west",5,19,0,16.9928704,17.02,408.5,"2015",NA,NA
"54","goose_south_west",6,7,0,6.633984,6.55,144.9,"2015",NA,NA
"55","goose_south_east",1,9,0,7.29216,13.51,169.2,"2015",NA,NA
"56","goose_south_east",2,11,0,6.68976,8.65,144.1,"2015",NA,NA
"57","goose_south_east",3,8,0,9.0372352,11.25,96.8,"2015",NA,NA
"58","goose_south_east",4,11,0,10.2888192,15.18,255.2,"2015",NA,NA
"59","goose_south_east",5,11,0,8.703552,14.63,39.6,"2015",NA,NA
"60","goose_south_east",6,11,0,7.2179712,8.26,173.8,"2015",NA,NA
"61","triquet_north",1,2,0.26,0.86016,3.36,24,"2015",NA,NA
"62","triquet_north",2,5,0.47,4.74624,3.46,138,"2015",NA,NA
"63","triquet_north",3,5,4.87,2.0232,7.2,150.5,"2015",NA,NA
"64","triquet_north",4,2,2.37,1.5872,1.24,77.6,"2015",NA,NA
"65","triquet_north",5,4,2.52,1.662976,3.01,29.6,"2015",NA,NA
"66","choked_wolf",1,7,1.48,NA,17.9,NA,"2015",NA,NA
"67","choked_wolf",2,5,0.96,NA,8.81,NA,"2015",NA,NA
"68","choked_wolf",3,6,1.2,NA,13.28,NA,"2015",NA,NA
"69","choked_wolf",4,5,1.95,NA,14.47,NA,"2015",NA,NA
"70","choked_wolf",5,4,0.44,NA,8.26,NA,"2015",NA,NA
"71","choked_wolf",6,3,1.01,NA,7.69,NA,"2015",NA,NA
"72","goose_south_east",1,6,1.37,6.624,7.01,165.599999999999,"2016",3.16,NA
"73","goose_south_east",8,10,0,12.22144,10.69,228,"2016",2.72,NA
"74","goose_south_east",9,13,0,12.849408,8.18,271.700000000001,"2016",1.52,NA
"75","goose_south_east",5,9,0.36,5.46048,8.23,168.3,"2016",0.88,NA
"76","goose_south_east",2,9,0.3,3.587328,3.76,113.399999999999,"2016",0.73,NA
"77","goose_south_east",4,8,0.21,10.902528,3.48,213.6,"2016",3.06,NA
"78","goose_south_east",6,5,0.11,3.77856,10.53,100,"2016",0.56,NA
"79","goose_south_east",3,10,0.48,12.71808,5.26,249.000000000001,"2016",3.12,NA
"80","goose_south_east",7,NA,0.59,NA,10.82,NA,"2016",3.07,NA
"81","pruth_pocket",8,22,2.09,7.4976,5.41,99,"2016",1.54,NA
"82","pruth_pocket",2,27,0.77,11.7504,5.22,461.700000000004,"2016",0.47,NA
"83","pruth_pocket",5,26,0.23,6.6144,3.38,748.800000000005,"2016",0.15,NA
"84","pruth_pocket",4,22,0.24,9.360384,4.43,420.200000000003,"2016",0.86,NA
"85","pruth_pocket",6,36,0.35,7.907328,6.63,766.799999999998,"2016",0.3,NA
"86","pruth_pocket",7,25,2.06,16.18,9.88,447.499999999997,"2016",1.03,NA
"87","pruth_pocket",1,35,0.73,17.1696,4.56,1008.00000000001,"2016",0.51,NA
"88","pruth_pocket",9,9,0,6.48,2.68,162.899999999999,"2016",0.34,NA
"89","pruth_pocket",3,23,0.39,7.90464,5,315.099999999996,"2016",0.57,NA
"90","choked_wolf",5,6,0.1,6.459264,8.83,139.199999999999,"2016",0.52,NA
"91","choked_wolf",1,6,3.69,12.5856,4.49,169.8,"2016",0.23,NA
"92","choked_wolf",2,9,1.71,15.691968,11.67,13.5,"2016",0.62,NA
"93","choked_wolf",7,3,0.27,2.973696,4.92,63.6000000000001,"2016",0,NA
"94","choked_wolf",4,3,1.04,5.32656,5.72,78,"2016",0.21,NA
"95","choked_wolf",9,6,0.36,8.441856,9.85,44.4000000000005,"2016",2.15,NA
"96","choked_wolf",6,2,1.13,2.9376,3.69,43.8000000000002,"2016",0.11,NA
"97","choked_wolf",3,2,2.32,2.433024,3.72,30.4000000000001,"2016",0,NA
"98","choked_wolf",8,7,0,9.35424,11.97,168,"2016",1.88,NA
"99","choked_sandspit",1,5,3.08,3.14112,11.16,55.4999999999995,"2016",NA,NA
"100","choked_sandspit",2,6,2.57,6.49728,4.72,135,"2016",NA,NA
"101","choked_sandspit",3,7,12.53,10.64448,5.93,179.9,"2016",NA,NA
"102","choked_sandspit",4,8,7.34,7.421952,8.88,56.8000000000011,"2016",1.4,NA
"103","choked_sandspit",5,5,6.56,11.2752,5.79,65.5000000000007,"2016",NA,NA
"104","choked_sandspit",6,8,5.73,11.22048,9.51,375.200000000001,"2016",NA,NA
"105","choked_sandspit",7,6,6.64,10.32192,7.79,-52.7999999999997,"2016",5.87,NA
"106","choked_sandspit",8,5,5.52,6.7248,4.2,134.5,"2016",0.94,NA
"107","choked_sandspit",9,3,3.94,3.1752,2.42,69.8999999999999,"2016",NA,NA
"108","choked_inner",1,4,-2.46,7.66656,5.99,97.5999999999995,"2016",NA,NA
"109","choked_inner",2,5,13.65,11.584,8.77,414.499999999999,"2016",NA,NA
"110","choked_inner",3,4,11.27,9.50016,5.15,114.8,"2016",NA,NA
"111","choked_inner",4,4,13.43,5.62176,9.47,350.8,"2016",NA,NA
"112","choked_inner",5,8,9.06,25.485312,9.17,296.799999999999,"2016",0.42,NA
"113","choked_inner",6,5,12.5,7.26912,9.12,347.5,"2016",NA,NA
"114","choked_inner",7,5,11.02,8.1408,9.81,225.500000000001,"2016",0.54,NA
"115","choked_inner",8,5,10.28,7.26912,7.83,81.5000000000009,"2016",NA,NA
"116","choked_inner",9,6,8.28,15.91488,9,102.599999999999,"2016",NA,NA
"117","goose_south_west",1,10,0.31,5.85216,9.48,42.9999999999995,"2016",0.66,NA
"118","goose_south_west",6,5,0,4.89216,5.77,31.0000000000002,"2016",0.38,NA
"119","goose_south_west",5,9,1.52,13.284864,7.78,144.900000000001,"2016",1.06,NA
"120","goose_south_west",8,3,0,6.022656,3.52,86.3999999999999,"2016",0.32,NA
"121","goose_south_west",4,9,0,6.64416,6.64,147.600000000001,"2016",0.29,NA
"122","goose_south_west",2,8,0.98,5.31456,7.19,104,"2016",0.4,NA
"123","goose_south_west",7,9,0.0800000000000001,14.059008,7.64,86.3999999999992,"2016",0.53,NA
"124","goose_south_west",3,10,5.07,9.3696,5.68,208.000000000002,"2016",0.64,NA
"125","goose_south_west",9,5,0.67,2.8752,8.78,112,"2016",0.83,NA
"126","triquet_north",5,3,11.32,3.4272,1.74,57.8999999999999,"2016",0.42,NA
"127","triquet_north",3,3,6.63,0.239616,1.48,49.7999999999997,"2016",NA,NA
"128","triquet_north",4,4,0.42,6.8096,5.43,80.3999999999996,"2016",0.36,NA
"129","triquet_north",6,6,1.97,6.39744,4.4,124.2,"2016",0.71,NA
"130","triquet_north",7,6,0.04,5.26848,2.87,154.2,"2016",1.55,NA
"131","triquet_north",8,3,0.9,2.900352,2.83,64.5,"2016",0.1,NA
"132","triquet_north",1,3,0,3.9648,1.21,17.6999999999996,"2016",5.5,NA
"133","triquet_north",9,2,2.68,0.954368,3.48,45.2000000000003,"2016",NA,NA
"134","triquet_north",2,3,2.09,2.546688,1.8,55.1999999999996,"2016",NA,NA
"135","triquet_south",1,11,0,9.664512,3.97,138.599999999999,"2016",0.29,NA
"136","triquet_south",2,16,0,5.31456,4.52,86.4000000000015,"2016",0.12,NA
"137","triquet_south",3,16,0,7.86432,3.52,84.7999999999993,"2016",3.34,NA
"138","triquet_south",4,18,0,4.97664,3.58,187.200000000002,"2016",0.36,NA
"139","triquet_south",5,NA,0,NA,4.93,NA,"2016",NA,NA
"140","triquet_south",6,8,0,2.740224,2.92,89.6000000000004,"2016",0.51,NA
"141","triquet_south",7,12,0,6.28992,4.25,324,"2016",0.5,NA
"142","triquet_south",8,10,0,5.16992,2.47,80,"2016",NA,NA
"143","triquet_south",9,13,0,6.77664,4.52,223.599999999998,"2016",0.11,NA
"144","pruth_bay",1,19,0.48,16.223872,7.54,463.599999999997,"2016",1.12,NA
"145","pruth_bay",2,13,0.3,7.78752,6.54,318.5,"2016",1.17,NA
"146","pruth_bay",3,8,0,4.466688,4.44,184,"2016",0.46,NA
"147","pruth_bay",4,7,0,6.949376,6.44,196,"2016",0.49,NA
"148","pruth_bay",5,15,0,9.94896,7.22,455.999999999998,"2016",0.94,NA
"149","pruth_bay",6,26,0.1,12.140544,5.32,678.600000000004,"2016",1.06,NA
"150","pruth_bay",7,15,0,6.8736,8.9,109.499999999999,"2016",0.84,NA
"151","pruth_bay",8,12,0,10.789632,7.11,236.400000000001,"2016",1.27,NA
"152","pruth_bay",9,6,0,9.698304,3.74,148.8,"2016",0.28,NA
"153","pruth_pocket",1,21,0.27,2.886912,3.48,NA,"2017",0.44,0.0482999999999993
"154","pruth_pocket",2,15,0.989999999999999,3.42528,1.18,NA,"2017",0.72,0.0224999999999975
"155","pruth_pocket",3,22,0.26,2.775168,1.74,NA,"2017",0.38,0.0418000000000003
"156","pruth_pocket",4,19,1.12,4.93696,2.3,NA,"2017",0.5,0.00949999999999895
"157","pruth_pocket",5,15,2.22,2.6112,1.75,NA,"2017",0.92,0.0105000000000022
"158","pruth_pocket",6,22,0.11,4.28032,1.62,NA,"2017",0.36,0.00439999999999952
"159","pruth_pocket",7,38,2.01,9.75232,6.55,NA,"2017",2.74,0.0380000000000043
"160","pruth_pocket",8,23,2.93,12.45312,5.76,NA,"2017",2.02,0.0321999999999965
"161","pruth_pocket",9,22,0.37,2.416128,1.52,NA,"2017",0.17,0.0285999999999969
"162","choked_inner",1,4,0.55,8.09984,2.5,NA,"2017",NA,0.0179999999999998
"163","choked_inner",2,5,12.75,6.0032,8.06,NA,"2017",NA,0.0929999999999997
"164","choked_inner",3,3,7.03,5.184,5.75,NA,"2017",NA,0.0606
"165","choked_inner",4,6,5.47,8.84736,10.43,NA,"2017",NA,0.0653999999999995
"166","choked_inner",5,5,9.49,8.2816,10.24,NA,"2017",NA,0.1415
"167","choked_inner",6,6,7.75,10.2144,10.48,NA,"2017",NA,0.1596
"168","choked_inner",7,4,8.69,7.616,3.71,NA,"2017",NA,0.0796000000000001
"169","choked_inner",8,4,6.52,6.50048,4.59,NA,"2017",NA,0.0804
"170","choked_inner",9,5,5.85,12.16,9.69,NA,"2017",NA,0.1305
"171","choked_sandspit",1,9,3.18,4.567104,8.84,NA,"2017",10.8,0.0044999999999995
"172","choked_sandspit",2,6,0.89,8.41344,7.75,NA,"2017",0.21,0.0192000000000005
"173","choked_sandspit",3,9,3.4,27.343872,18.11,NA,"2017",3.12,NA
"174","choked_sandspit",4,9,2.68,9.566208,9.36,NA,"2017",2.5,NA
"175","choked_sandspit",5,11,10.13,6.397248,12.8,NA,"2017",0.3,0.035200000000001
"176","choked_sandspit",6,9,3.39,8.10432,7.59,NA,"2017",NA,0.0351000000000001
"177","choked_sandspit",7,5,4.93,6.02112,5.54,NA,"2017",0.51,0.0219999999999998
"178","choked_sandspit",8,5,1.67,4.18176,4.46,NA,"2017",0.06,0.02
"179","choked_sandspit",9,16,3.19,25.088,12.42,NA,"2017",0.14,0.0640000000000001
"180","triquet_north",2,5,2.07,0.5952,5.82,NA,"2017",0.83,0.0680000000000003
"181","pruth_bay",1,11,0.74,4.7168,4.1,NA,"2017",0.38,0.380600000000002
"182","pruth_bay",2,11,0,1.71776,5.11,NA,"2017",0.22,0.2255
"183","pruth_bay",3,17,0.1,2.35008,5.04,NA,"2017",0.34,0.329800000000001
"184","pruth_bay",4,19,0,7.0528,6.73,NA,"2017",0.19,0.3439
"185","pruth_bay",5,7,0.14,1.63072,1.28,NA,"2017",0.07,0.042
"186","pruth_bay",6,29,0,6.325248,6.37,NA,"2017",0.19,0.577099999999994
"187","pruth_bay",7,9,0,3.5136,3.62,NA,"2017",0.16,0.0917999999999999
"188","pruth_bay",8,11,0,2.34432,3.04,NA,"2017",0.27,0.2222
"189","pruth_bay",9,24,-0.01,3.13344,4.68,NA,"2017",0.2,0.508799999999997
"190","triquet_north",1,2,4.43,1.275904,4.66,NA,"2017",0.19,0.0464000000000002
"191","triquet_north",3,7,2.21,7.68768,6.13,NA,"2017",0.17,0.0167999999999997
"192","triquet_north",4,2,4.38,1.664,3.12,NA,"2017",0.12,0.00819999999999999
"193","triquet_north",5,6,0.47,11.47392,9.52,NA,"2017",1.62,0.0149999999999997
"194","triquet_north",6,3,4.79,2.640384,2.64,NA,"2017",0.16,0.00539999999999941
"195","triquet_north",7,2,0.18,1.6896,4.83,NA,"2017",0.0900000000000001,0.00340000000000007
"196","triquet_north",8,4,9.87,5.71392,4.41,NA,"2017",0.13,0.0199999999999996
"197","triquet_north",9,4,7.78,4.3904,2.35,NA,"2017",0.14,0.0259999999999998
"198","triquet_south",1,11,1.5,13.85472,8.33,NA,"2017",0.98,0.0494999999999994
"199","triquet_south",2,11,1.89,8.135424,9.63,NA,"2017",0.75,0.0329999999999988
"200","triquet_south",3,12,0,8.70912,5.3,NA,"2017",0.24,0.0372000000000012
"201","triquet_south",4,12,8.39,25.2288,NA,NA,"2017",0.48,0.227999999999999
"202","triquet_south",5,15,0,4.0896,NA,NA,"2017",NA,0.0450000000000017
"203","triquet_south",6,16,3.03,30.39232,11.95,NA,"2017",0.6,0.304000000000002
"204","triquet_south",7,9,4.1,12.7872,6.74,NA,"2017",0.64,0.0342000000000002
"205","triquet_south",8,8,-1.89,2.88768,8.34,NA,"2017",0.63,0.102399999999999
"206","triquet_south",9,11,0.0600000000000001,13.21056,6.49,NA,"2017",0.5,0.584100000000002
"207","choked_inner",1,7,14.3,10.579968,7.86,24.1,"2018",0.33,NA
"208","choked_inner",2,7,2.69,19.34464,8.57,24.7999999999999,"2018",NA,NA
"209","choked_inner",3,7,1.11,18.7488,8.5,24.6999999999999,"2018",0.14,NA
"210","choked_inner",4,5,2.41,6.13376,5,12.5999999999999,"2018",NA,NA
"211","choked_inner",5,6,3.47,15.36,13.34,16.8000000000001,"2018",0.45,NA
"212","choked_inner",6,4,1.32,1.22112,6.97,23.2999999999999,"2018",NA,NA
"213","choked_inner",7,7,12.16,8.3496,11.39,28.1,"2018",NA,NA
"214","choked_inner",8,11,85.69,49.54752,31.1,28.7000000000002,"2018",0.66,NA
"215","choked_inner",9,7,6.34,4.54272,17.34,15.8,"2018",0.54,NA
"216","pruth_bay",1,26,0.58,21.5904,5.39,5.90000000000002,"2018",0.69,NA
"217","pruth_bay",2,9,0.0700000000000001,1.907712,2.6,14.4000000000002,"2018",0.61,NA
"218","pruth_bay",3,7,0.0600000000000001,6.47136,1.01,16.8999999999999,"2018",0.0800000000000001,NA
"219","pruth_bay",4,26,0,4.40544,5.02,20.8000000000002,"2018",0.52,NA
"220","pruth_bay",5,4,0,0.88064,6.72,16.9000000000001,"2018",NA,NA
"221","pruth_bay",6,16,0,4.939776,4.02,31.6000000000001,"2018",-2,NA
"222","pruth_bay",7,20,0.0799999999999998,5.8624,8.11,8.70000000000015,"2018",0.82,NA
"223","pruth_bay",8,14,0.59,4.7936,3.69,28.5000000000002,"2018",0.39,NA
"224","pruth_bay",9,36,0.4,10.43712,7.36,2.49999999999995,"2018",1.19,NA
"225","pruth_pocket",1,26,0.98,7.614464,5.21,19.4000000000001,"2018",2.34,NA
"226","pruth_pocket",2,6,2.12,4.589568,2.82,18.9999999999999,"2018",0.82,NA
"227","pruth_pocket",3,10,0.73,5.72,2.28,18.8999999999999,"2018",0.47,NA
"228","pruth_pocket",4,21,0,12.7008,10.2,20.2,"2018",0.93,NA
"229","pruth_pocket",5,12,0.76,2.23488,2.98,20.5,"2018",0.24,NA
"230","pruth_pocket",6,34,0,7.05024,4.31,17.2000000000001,"2018",0.47,NA
"231","pruth_pocket",7,25,6.6,24.048,12.19,20,"2018",NA,NA
"232","pruth_pocket",8,15,0.62,3.6864,3.32,20.6,"2018",1.26,NA
"233","pruth_pocket",9,65,3.45,25.55904,6.23,17.8999999999998,"2018",1.14,NA
"234","choked_sandspit",1,7,45.04,15.40224,8.48,11.4999999999998,"2018",0.74,NA
"235","choked_sandspit",2,9,5.75,4.390848,14.06,18.9999999999999,"2018",NA,NA
"236","choked_sandspit",3,3,11.27,5.8464,1.76,14.7999999999999,"2018",0.14,NA
"237","choked_sandspit",4,12,14.22,17.086464,15.58,20.7999999999999,"2018",0.57,NA
"238","choked_sandspit",5,15,23.02,19.3536,10.57,22.9999999999999,"2018",1.98,NA
"239","choked_sandspit",6,13,12.39,22.66368,16.66,23.6000000000001,"2018",0.53,NA
"240","choked_sandspit",7,14,6.83,36.77184,15.4,31.3999999999999,"2018",1.02,NA
"241","choked_sandspit",8,5,12.55,11.2752,7.87,22.6,"2018",0.31,NA
"242","choked_sandspit",9,13,9.25,24.9912,11.63,20.4,"2018",0.49,NA
"243","triquet_south",1,7,3.56,13.97088,13.1,18.4,"2018",NA,NA
"244","triquet_south",2,7,8.56,8.034432,8.59,15.2000000000001,"2018",0.64,NA
"245","triquet_south",3,9,15.44,11.13696,10.85,8.90000000000013,"2018",0.34,NA
"246","triquet_south",4,10,11.51,10.24,12.9,18,"2018",0.86,NA
"247","triquet_south",5,10,5.29,17.0208,12.43,7.80000000000003,"2018",NA,NA
"248","triquet_south",6,10,5.12,3.9872,11.67,7.00000000000012,"2018",0.93,NA
"249","triquet_south",7,16,0.59,7.04,12.76,16.2,"2018",1.06,NA
"250","triquet_south",8,14,0.970000000000001,23.54688,16.95,17.4000000000001,"2018",NA,NA
"251","triquet_south",9,7,2.18,3.33312,5.94,20.4,"2018",NA,NA
"252","triquet_north",1,5,0.0599999999999998,1.2736,5.97,16.2,"2018",0.84,NA
"253","triquet_north",2,4,5.58,4.6816,4.35,13.9,"2018",NA,NA
"254","triquet_north",3,3,0.36,8.0928,2.64,24.5000000000002,"2018",0.16,NA
"255","triquet_north",4,6,0,16.5312,6.25,18.9999999999999,"2018",0.71,NA
"256","triquet_north",5,6,0.45,4.24704,5.26,17.5000000000001,"2018",NA,NA
"257","triquet_north",6,5,0.2,12.68352,7.86,20.3,"2018",0.59,NA
"258","triquet_north",7,2,2.61,0.8768,3.89,14.6999999999999,"2018",0.14,NA
"259","triquet_north",8,5,2.66,11.52,3.02,5.30000000000008,"2018",NA,NA
"260","triquet_north",9,4,0,6.0192,3.42,9.40000000000007,"2018",NA,NA
