year,date,site,sample,Alvania.compacta,Amphissa.columbiana,Caprella.mutica,Cirolana.harfordi,Dinophilidae,Lepasterias.hexactis,Lirularia.lirulata,Margarites.helicinus,Margarites.pupillus,Nassarius.mendicus,Paracerceis.cordata,Protomedeia,Rissoidae,Talitridae,Tegula.funebralis,Tiny.red.striped.snail,Urothoidae,revisit,revisted_20190725
2014,???,inner choked,4A,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014,7/11/2014,triquet north,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2014,7/11/2014,triquet north,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,,
2014,7/11/2014,triquet north,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2014,7/13/2014,mcmullins south,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014,7/13/2014,mcmullins south,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,,
2014,7/13/2014,mcmullins south,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,
2014,7/13/2014,mcmullins south,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2014,7/29/2014,inner choked,11,0,0,3,0,0,0,0,0,0,0,1,0,0,0,20,0,0,1,
2014,7/29/2014,inner choked,11B,0,0,5,0,0,0,0,0,0,0,66,0,0,0,0,0,0,,
2014,7/29/2014,inner choked,4,0,0,7,0,0,0,0,0,0,0,6,0,0,0,1,0,0,,
2014,7/29/2014,inner choked,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014,7/29/2014,inner choked,6A,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2014,7/29/2014,inner choked,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,
2014,7/31/2014,goose south east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,
2014,7/31/2014,goose south east,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,
2014,7/31/2014,goose south east,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,,
2014,7/31/2014,goose south east,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,173,0,0,1,
2014,7/31/2014,goose south east,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,1,
2014,7/31/2014,goose south east,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,0,1,
2014,7/31/2014,goose south east,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0,0,,
2014,7/31/2014,goose south east,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,
2014,7/9/2014,sandspit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,
2014,7/9/2014,sandspit,11,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1,0,0,,
2014,7/9/2014,sandspit,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014,7/9/2014,sandspit,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014,7/9/2014,sandspit,6A,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,
2014,7/9/2014,sandspit,6B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2014,7/9/2014,sandspit,7B,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,
2014,7/9/2014,sandspit,8A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2014,8/11/2014,goose south west,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,
2014,8/11/2014,goose south west,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2014,8/11/2014,goose south west,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2014,8/11/2014,goose south west,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,
2014,8/11/2014,goose south west,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2014,8/11/2014,goose south west,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,
2014,8/2/2014,mcmullins north,11,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,,
2014,8/2/2014,mcmullins north,3,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,,
2014,8/2/2014,mcmullins north,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,
2014,8/2/2014,mcmullins north,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,
2014,8/2/2014,mcmullins north,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2014,8/4/2014,triquet south,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,12,0,0,3,0,0,0,0,0,0,0,68,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,13,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,,
2014,8/4/2014,triquet south,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2014,8/4/2014,triquet south,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,6A,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,6B,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,7,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,,
2014,8/4/2014,triquet south,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,
2015,1/7/2015,goose north,A,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose north,B,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose north,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose north,D,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose north,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south east,B,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south east,C,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south east,D,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south east,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south east,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south west,A,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south west,B,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,goose south west,E,0,0,0,0,0,3,0,7,1,0,0,0,0,0,0,0,0,1,
2015,1/7/2015,goose south west,F,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,
2015,1/7/2015,triquet north,A,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,
2015,1/7/2015,triquet north,C,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
2015,1/7/2015,triquet north,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,triquet north,F,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,,
2015,1/7/2015,triquet south,A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,1/7/2015,triquet south,B,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,
2015,1/7/2015,triquet south,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
2015,1/7/2015,triquet south,E,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,10/7/2015,sandspit,A,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,,
2015,10/7/2015,sandspit,B,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,
2015,10/7/2015,sandspit,C,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,,
2015,10/7/2015,sandspit,D,0,0,2,0,0,0,0,59,7,0,0,0,0,0,0,0,0,,
2015,10/7/2015,sandspit,E,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,,
2015,10/7/2015,sandspit,F,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,
2015,25/06/2015,inner choked,A,0,0,5,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,
2015,25/06/2015,inner choked,B,0,0,6,0,0,0,0,75,0,0,0,0,0,0,0,0,0,,
2015,25/06/2015,inner choked,C,0,0,10,0,0,0,0,83,4,0,0,0,0,0,0,0,0,1,
2015,25/06/2015,inner choked,D,0,0,8,0,0,0,0,39,0,0,0,0,0,0,0,0,0,,
2015,25/06/2015,inner choked,E,0,0,18,0,0,0,0,39,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins north,A,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins north,B,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins north,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins south,A,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins south,B,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins south,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins south,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2015,27/06/2015,mcmullins south,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2016,2-Jul-16,triquet north,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2016,28-Jun-16,sandspit,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,
2016,28-Jun-16,sandspit,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1
2016,28-Jun-16,sandspit,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
2016,28-Jun-16,sandspit,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
2016,28-Jun-16,sandspit,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,,
2016,28-Jun-16,sandspit,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
2016,30-Jun-16,goose south west,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2016,6-Jul-16,pruth pocket,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,6-Jul-16,pruth pocket,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,4-Jul-17,inner choked,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,4-Jul-17,inner choked,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,4-Jul-17,inner choked,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,5-Jul-17,pruth pocket,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
2017,5-Jul-17,pruth pocket,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,5-Jul-17,pruth pocket,4,216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,should be Metacaprella kennerlyi,,could not find; ignore,,looks good,,,,,,Alvania compacta,"ignore, could not find specimen",,,"ignore, could not find specimen",,
