"","chkd_s_6","chkd_s_5","chkd_s_4","chkd_s_3","chkd_s_2","chkd_s_1","chkd_nn_","chkd_nn_.1","chkd_nn_.2","chkd_n_2","chkd_n_1","chkd_n_0","gs_sth_s_6","gs_sth_s_5","gs_sth_s_4","gs_sth_s_3","gs_sth_s_2","gs_sth_s_1","gs_sth_w_6","gs_sth_w_5","gs_sth_w_4","gs_sth_w_3","gs_sth_w_2","gs_sth_w_1","mcmllns_n_6","mcmllns_n_5","mcmllns_n_4","mcmllns_n_3","mcmllns_n_2","mcmllns_n_1","mcmllns_s_6","mcmllns_s_5","mcmllns_s_4","mcmllns_s_3","mcmllns_s_2","mcmllns_s_1","trqt_n_6","trqt_n_5","trqt_n_4","trqt_n_3","trqt_n_2","trqt_n_1","trqt_s_6","trqt_s_5","trqt_s_4","trqt_s_3","trqt_s_2","trqt_s_1"
"chkd_s_6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_5","0.574666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_4","0.312333333333333","0.653","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_3","0.804666666666667","0.862333333333333","0.853666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_2","0.324333333333333","0.509333333333333","0.313333333333333","0.881333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_1","0.509666666666667","0.418333333333333","0.592","0.620666666666667","0.489333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_nn_","0.435","0.5","0.533666666666667","0.849666666666667","0.332666666666667","0.481","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_nn_.1","0.445333333333333","0.422","0.552666666666667","0.861333333333333","0.332333333333333","0.462666666666667","0.231666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_nn_.2","0.542333333333333","0.395","0.641333333333333","0.861666666666667","0.406666666666667","0.508333333333333","0.235333333333333","0.169666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_2","0.569","0.691666666666667","0.522333333333333","0.865333333333333","0.546","0.710333333333333","0.603","0.709333333333333","0.727666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_1","0.376","0.515","0.419","0.863333333333333","0.287333333333333","0.486666666666667","0.284666666666667","0.382666666666667","0.413666666666667","0.435","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_0","0.366666666666667","0.680666666666667","0.339333333333333","0.916666666666667","0.379666666666667","0.665","0.441666666666667","0.549","0.615","0.444666666666667","0.321333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_6","0.572666666666667","0.684","0.51","0.911666666666667","0.573666666666667","0.736666666666667","0.600666666666667","0.635333333333333","0.701333333333333","0.586","0.604333333333333","0.515666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_5","0.553333333333333","0.719666666666667","0.470666666666667","0.920333333333333","0.484333333333333","0.740333333333333","0.531666666666667","0.587666666666667","0.641666666666667","0.546666666666667","0.542666666666667","0.481333333333333","0.250333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_4","0.565333333333333","0.771","0.422333333333333","0.85","0.393333333333333","0.710333333333333","0.531666666666667","0.614666666666667","0.645","0.475333333333333","0.472333333333333","0.414333333333333","0.529","0.400333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_3","0.491666666666667","0.741666666666667","0.429666666666667","0.906333333333333","0.382333333333333","0.713333333333333","0.416666666666667","0.452333333333333","0.480333333333333","0.523666666666667","0.458666666666667","0.407","0.482","0.356666666666667","0.306","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_2","0.468","0.642333333333333","0.446666666666667","0.918333333333333","0.402","0.724333333333333","0.492333333333333","0.544","0.603666666666667","0.495333333333333","0.451666666666667","0.406666666666667","0.385666666666667","0.304","0.373666666666667","0.310333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_1","0.486","0.693333333333333","0.427","0.932666666666667","0.412666666666667","0.688","0.407","0.431","0.491","0.521333333333333","0.421","0.392","0.499","0.371333333333333","0.387666666666667","0.227666666666667","0.362666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_6","0.589333333333333","0.686333333333333","0.472333333333333","0.859666666666667","0.495666666666667","0.59","0.475","0.551666666666667","0.575333333333333","0.457","0.492333333333333","0.512666666666667","0.469333333333333","0.358333333333333","0.349","0.336333333333333","0.442666666666667","0.360666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_5","0.566","0.734333333333333","0.505333333333333","0.896","0.511666666666667","0.771333333333333","0.509333333333333","0.556","0.615333333333333","0.531666666666667","0.561333333333333","0.525","0.283333333333333","0.206333333333333","0.387666666666667","0.340666666666667","0.337333333333333","0.357666666666667","0.297","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_4","0.63","0.806666666666667","0.531","0.891333333333333","0.595","0.833","0.686666666666667","0.733666666666667","0.787","0.541333333333333","0.627333333333333","0.576","0.403333333333333","0.317","0.476333333333333","0.510666666666667","0.465333333333333","0.511","0.426666666666667","0.302666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_3","0.513","0.693666666666667","0.426666666666667","0.833666666666667","0.443666666666667","0.687","0.511333333333333","0.59","0.610333333333333","0.44","0.439333333333333","0.469333333333333","0.407666666666667","0.273666666666667","0.323333333333333","0.364","0.336","0.423","0.306","0.314666666666667","0.338333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_2","0.604","0.788666666666667","0.573666666666667","0.891","0.555666666666667","0.815","0.610666666666667","0.643333333333333","0.687666666666667","0.572666666666667","0.568666666666667","0.615333333333333","0.467333333333333","0.343","0.468333333333333","0.465666666666667","0.452","0.469666666666667","0.413333333333333","0.299333333333333","0.171","0.341","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_1","0.577","0.775666666666667","0.508333333333333","0.863666666666667","0.535666666666667","0.763333333333333","0.649","0.688333333333333","0.733333333333333","0.474333333333333","0.555","0.539666666666667","0.454","0.348666666666667","0.414333333333333","0.454333333333333","0.443666666666667","0.480666666666667","0.362666666666667","0.353","0.168","0.277666666666667","0.186","0","","","","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_6","0.428666666666667","0.553","0.371333333333333","0.91","0.316666666666667","0.640666666666667","0.515333333333333","0.516333333333333","0.58","0.545666666666667","0.407","0.405333333333333","0.465666666666667","0.410666666666667","0.417","0.373","0.283333333333333","0.369","0.502","0.408","0.531333333333333","0.428666666666667","0.519","0.505333333333333","0","","","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_5","0.534666666666667","0.572","0.493333333333333","0.924666666666667","0.409666666666667","0.73","0.59","0.582","0.639666666666667","0.602333333333333","0.531666666666667","0.523666666666667","0.509666666666667","0.442","0.468","0.414333333333333","0.317666666666667","0.435","0.546333333333333","0.452333333333333","0.593666666666667","0.488","0.553666666666667","0.564","0.225333333333333","0","","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_4","0.489","0.465333333333333","0.432666666666667","0.919","0.388666666666667","0.668666666666667","0.567333333333333","0.569","0.629333333333333","0.600666666666667","0.509333333333333","0.470666666666667","0.478","0.445666666666667","0.490333333333333","0.435","0.334333333333333","0.441666666666667","0.546333333333333","0.455","0.565333333333333","0.502666666666667","0.582333333333333","0.541333333333333","0.203333333333333","0.194333333333333","0","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_3","0.534333333333333","0.462","0.451333333333333","0.902","0.457","0.670333333333333","0.619","0.616666666666667","0.682","0.589","0.563333333333333","0.509666666666667","0.475333333333333","0.479666666666667","0.511333333333333","0.465333333333333","0.365333333333333","0.487666666666667","0.578333333333333","0.472","0.572666666666667","0.515333333333333","0.602","0.563333333333333","0.245333333333333","0.259666666666667","0.152333333333333","0","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_2","0.465","0.532","0.427","0.912","0.4","0.680333333333333","0.583333333333333","0.583333333333333","0.647333333333333","0.568","0.514","0.459","0.471666666666667","0.462333333333333","0.487666666666667","0.433","0.332","0.448","0.559333333333333","0.464","0.564333333333333","0.494","0.580333333333333","0.551666666666667","0.187333333333333","0.152666666666667","0.159666666666667","0.194","0","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_1","0.537","0.480666666666667","0.525666666666667","0.907666666666667","0.513666666666667","0.675333333333333","0.623","0.604","0.673","0.675333333333333","0.569333333333333","0.549666666666667","0.519333333333333","0.538","0.605333333333333","0.531666666666667","0.448333333333333","0.520333333333333","0.637666666666667","0.542666666666667","0.621","0.58","0.608666666666667","0.615333333333333","0.349333333333333","0.343666666666667","0.206333333333333","0.224333333333333","0.285","0","","","","","","","","","","","","","","","","","",""
"mcmllns_s_6","0.506333333333333","0.724333333333333","0.461333333333333","0.913","0.416333333333333","0.764666666666667","0.584","0.605","0.67","0.464666666666667","0.477333333333333","0.464333333333333","0.492333333333333","0.389333333333333","0.390333333333333","0.361","0.321333333333333","0.383333333333333","0.432333333333333","0.383","0.458666666666667","0.396666666666667","0.453","0.403666666666667","0.304333333333333","0.345666666666667","0.387333333333333","0.421666666666667","0.346","0.516333333333333","0","","","","","","","","","","","","","","","","",""
"mcmllns_s_5","0.466","0.633666666666667","0.401","0.898666666666667","0.368","0.716666666666667","0.587333333333333","0.603666666666667","0.656666666666667","0.459666666666667","0.472333333333333","0.400666666666667","0.442333333333333","0.401333333333333","0.408","0.355666666666667","0.290333333333333","0.387666666666667","0.444666666666667","0.396666666666667","0.447","0.421333333333333","0.497666666666667","0.435","0.248","0.251333333333333","0.275666666666667","0.341","0.240333333333333","0.423","0.215","0","","","","","","","","","","","","","","","",""
"mcmllns_s_4","0.468666666666667","0.618333333333333","0.390333333333333","0.914","0.389","0.723666666666667","0.596666666666667","0.606","0.683","0.514666666666667","0.512","0.445","0.404333333333333","0.378333333333333","0.426666666666667","0.364333333333333","0.288333333333333","0.414","0.453","0.370333333333333","0.463","0.396","0.511333333333333","0.466","0.225","0.230333333333333","0.248666666666667","0.290333333333333","0.214333333333333","0.383","0.243333333333333","0.152333333333333","0","","","","","","","","","","","","","","",""
"mcmllns_s_3","0.556666666666667","0.603","0.447666666666667","0.893333333333333","0.458","0.731333333333333","0.661","0.658666666666667","0.721666666666667","0.562","0.591333333333333","0.522","0.452333333333333","0.425666666666667","0.452333333333333","0.427","0.364666666666667","0.495333333333333","0.504333333333333","0.403666666666667","0.51","0.436333333333333","0.559","0.515","0.296666666666667","0.254666666666667","0.255666666666667","0.260666666666667","0.238","0.361666666666667","0.310666666666667","0.245666666666667","0.146333333333333","0","","","","","","","","","","","","","",""
"mcmllns_s_2","0.492","0.703666666666667","0.446","0.911333333333333","0.397333333333333","0.752666666666667","0.576333333333333","0.581","0.667","0.521","0.495","0.454666666666667","0.450666666666667","0.373666666666667","0.385666666666667","0.314666666666667","0.269","0.368666666666667","0.425666666666667","0.335333333333333","0.455666666666667","0.395333333333333","0.418666666666667","0.421","0.284666666666667","0.291666666666667","0.341666666666667","0.398666666666667","0.325","0.452333333333333","0.175333333333333","0.211333333333333","0.223666666666667","0.301666666666667","0","","","","","","","","","","","","",""
"mcmllns_s_1","0.495666666666667","0.598666666666667","0.421666666666667","0.908666666666667","0.377666666666667","0.722","0.594666666666667","0.591333333333333","0.660666666666667","0.516666666666667","0.479666666666667","0.454333333333333","0.474666666666667","0.410333333333333","0.419333333333333","0.349333333333333","0.305666666666667","0.356666666666667","0.464666666666667","0.408666666666667","0.503333333333333","0.447333333333333","0.486333333333333","0.472333333333333","0.224333333333333","0.185666666666667","0.210333333333333","0.278","0.194","0.349666666666667","0.254666666666667","0.161666666666667","0.168","0.202","0.219333333333333","0","","","","","","","","","","","",""
"trqt_n_6","0.492","0.652666666666667","0.497","0.938","0.413666666666667","0.698666666666667","0.506333333333333","0.543333333333333","0.587666666666667","0.418666666666667","0.382333333333333","0.397666666666667","0.524333333333333","0.408666666666667","0.471666666666667","0.399333333333333","0.315666666666667","0.356","0.498","0.441333333333333","0.540333333333333","0.441333333333333","0.523","0.519333333333333","0.327","0.367666666666667","0.388","0.435","0.382","0.476666666666667","0.316333333333333","0.317666666666667","0.342666666666667","0.397666666666667","0.357","0.345666666666667","0","","","","","","","","","","",""
"trqt_n_5","0.596666666666667","0.621","0.556666666666667","0.923666666666667","0.571333333333333","0.809666666666667","0.654333333333333","0.704333333333333","0.741666666666667","0.505666666666667","0.573333333333333","0.521333333333333","0.427333333333333","0.390666666666667","0.522333333333333","0.503","0.385","0.519333333333333","0.502","0.377333333333333","0.461666666666667","0.432666666666667","0.517333333333333","0.471333333333333","0.384333333333333","0.391","0.352","0.355","0.360666666666667","0.434666666666667","0.387666666666667","0.345666666666667","0.312","0.283666666666667","0.406","0.344","0.405666666666667","0","","","","","","","","","",""
"trqt_n_4","0.504666666666667","0.610333333333333","0.516666666666667","0.923666666666667","0.429333333333333","0.724333333333333","0.509666666666667","0.561666666666667","0.601666666666667","0.490333333333333","0.445","0.428333333333333","0.456333333333333","0.362","0.438666666666667","0.366666666666667","0.237","0.376","0.464333333333333","0.375","0.521333333333333","0.395666666666667","0.498","0.494","0.280666666666667","0.273666666666667","0.315333333333333","0.364666666666667","0.297666666666667","0.400666666666667","0.293666666666667","0.252","0.250666666666667","0.296333333333333","0.308333333333333","0.259333333333333","0.214333333333333","0.292666666666667","0","","","","","","","","",""
"trqt_n_3","0.484","0.582","0.367","0.861666666666667","0.424","0.537","0.532666666666667","0.644","0.659666666666667","0.365333333333333","0.425333333333333","0.392333333333333","0.531333333333333","0.458666666666667","0.401666666666667","0.403666666666667","0.4","0.436","0.300333333333333","0.480333333333333","0.508333333333333","0.387","0.562","0.430333333333333","0.390333333333333","0.464666666666667","0.458333333333333","0.427666666666667","0.426","0.56","0.388","0.353666666666667","0.374","0.436333333333333","0.414333333333333","0.428666666666667","0.403","0.448333333333333","0.412666666666667","0","","","","","","","",""
"trqt_n_2","0.520333333333333","0.558","0.476666666666667","0.912333333333333","0.403666666666667","0.700333333333333","0.548666666666667","0.548","0.594","0.553666666666667","0.504","0.47","0.442","0.346","0.406666666666667","0.345333333333333","0.303333333333333","0.355666666666667","0.424333333333333","0.334","0.485333333333333","0.427333333333333","0.459666666666667","0.46","0.270666666666667","0.258333333333333","0.231333333333333","0.276","0.266","0.323666666666667","0.342666666666667","0.275333333333333","0.284333333333333","0.267666666666667","0.318","0.22","0.32","0.287","0.178","0.422666666666667","0","","","","","","",""
"trqt_n_1","0.484666666666667","0.718","0.459","0.931666666666667","0.435333333333333","0.736","0.531333333333333","0.612666666666667","0.645","0.442666666666667","0.442666666666667","0.386","0.507666666666667","0.404","0.421666666666667","0.350666666666667","0.311","0.369","0.452","0.445","0.498666666666667","0.418","0.511666666666667","0.423666666666667","0.357666666666667","0.405333333333333","0.427666666666667","0.466","0.408666666666667","0.533666666666667","0.235333333333333","0.294","0.330333333333333","0.391","0.298666666666667","0.359","0.258","0.381666666666667","0.218666666666667","0.327333333333333","0.325","0","","","","","",""
"trqt_s_6","0.498333333333333","0.708666666666667","0.489666666666667","0.925","0.437666666666667","0.714666666666667","0.524666666666667","0.506666666666667","0.582","0.587666666666667","0.470666666666667","0.454","0.485333333333333","0.368333333333333","0.462","0.333","0.355666666666667","0.294","0.419","0.342333333333333","0.503","0.462","0.437666666666667","0.451666666666667","0.346","0.376","0.404666666666667","0.445333333333333","0.383","0.461","0.319","0.338","0.382333333333333","0.456","0.292","0.342666666666667","0.349666666666667","0.477","0.319666666666667","0.461","0.279666666666667","0.377666666666667","0","","","","",""
"trqt_s_5","0.512333333333333","0.644","0.508333333333333","0.899666666666667","0.442","0.72","0.559666666666667","0.552666666666667","0.616666666666667","0.543","0.506","0.479333333333333","0.337","0.298666666666667","0.419333333333333","0.355666666666667","0.276","0.356666666666667","0.420333333333333","0.261333333333333","0.414","0.407","0.388666666666667","0.405","0.294333333333333","0.328666666666667","0.333666666666667","0.369","0.338666666666667","0.418333333333333","0.324","0.259333333333333","0.286666666666667","0.346666666666667","0.284","0.271333333333333","0.334333333333333","0.342666666666667","0.224333333333333","0.464666666666667","0.195333333333333","0.363","0.234","0","","","",""
"trqt_s_4","0.512666666666667","0.693666666666667","0.502666666666667","0.927666666666667","0.436333333333333","0.696666666666667","0.471666666666667","0.429333333333333","0.465","0.624333333333333","0.495666666666667","0.491","0.515666666666667","0.392666666666667","0.490333333333333","0.255","0.377666666666667","0.265666666666667","0.445666666666667","0.379","0.559","0.475666666666667","0.506333333333333","0.520333333333333","0.334333333333333","0.377666666666667","0.390333333333333","0.447","0.385","0.462666666666667","0.374333333333333","0.384666666666667","0.399333333333333","0.482333333333333","0.345666666666667","0.380666666666667","0.346666666666667","0.505333333333333","0.326333333333333","0.503666666666667","0.31","0.404666666666667","0.195666666666667","0.305","0","","",""
"trqt_s_3","0.554666666666667","0.752","0.521666666666667","0.923","0.444","0.758666666666667","0.591666666666667","0.590333333333333","0.645","0.556666666666667","0.522666666666667","0.493","0.558333333333333","0.436","0.416333333333333","0.357333333333333","0.384333333333333","0.349666666666667","0.420333333333333","0.412333333333333","0.512333333333333","0.461","0.457","0.459666666666667","0.391333333333333","0.372","0.431","0.483333333333333","0.391333333333333","0.526","0.324","0.327","0.382333333333333","0.445666666666667","0.293666666666667","0.318","0.425333333333333","0.511","0.385333333333333","0.502666666666667","0.364333333333333","0.408666666666667","0.211666666666667","0.329333333333333","0.268","0","",""
"trqt_s_2","0.406666666666667","0.501","0.440666666666667","0.888666666666667","0.256333333333333","0.504333333333333","0.313666666666667","0.374333333333333","0.405","0.546666666666667","0.312","0.403333333333333","0.501333333333333","0.374666666666667","0.392666666666667","0.348666666666667","0.355333333333333","0.328","0.422666666666667","0.406","0.512","0.397","0.486666666666667","0.470666666666667","0.339666666666667","0.422666666666667","0.404333333333333","0.465","0.427666666666667","0.491666666666667","0.414666666666667","0.395666666666667","0.429333333333333","0.494666666666667","0.371333333333333","0.404333333333333","0.387333333333333","0.532333333333333","0.375333333333333","0.422333333333333","0.361333333333333","0.392333333333333","0.348333333333333","0.365666666666667","0.345","0.356","0",""
"trqt_s_1","0.814","0.895666666666667","0.856666666666667","0.808","0.855333333333333","0.842333333333333","0.852333333333333","0.830333333333333","0.867666666666667","0.865","0.875","0.878333333333333","0.863","0.870333333333333","0.869666666666667","0.881","0.874","0.888","0.861666666666667","0.855333333333333","0.853666666666667","0.861333333333333","0.859","0.865333333333333","0.87","0.873","0.862333333333333","0.859333333333333","0.854333333333333","0.862666666666667","0.874333333333333","0.860666666666667","0.871","0.864666666666667","0.872","0.862","0.889","0.867","0.871333333333333","0.873666666666667","0.862666666666667","0.879","0.885","0.858333333333333","0.894666666666667","0.882","0.863","0"
